Phy007B5SL_ACYPI	Phy007AXYQ_MYZPE
Phy00BWWNC_ACYPI	Phy007AQXA_MYZPE
Phy007AWW4_MYZPE	Phy000XPD5_ACYPI
Phy007AVQR_MYZPE	Phy0042EP2_ACYPI
Phy00BWXBP_ACYPI	Phy007AWWV_MYZPE
Phy00BX0ZW_ACYPI	Phy007AWID_MYZPE
Phy007ALVA_MYZPE	Phy0010H5J_ACYPI
Phy00BWXXF_ACYPI	Phy007AXIC_MYZPE
Phy007AQPV_MYZPE	Phy0010HY2_ACYPI
Phy007AXCW_MYZPE	Phy000XQ1P_ACYPI
Phy007ASVN_MYZPE	Phy0010GP8_ACYPI
Phy007AR6E_MYZPE	Phy0010CTO_ACYPI
Phy007APPJ_MYZPE	Phy0042AT3_ACYPI
Phy007AT9I_MYZPE	Phy0010HXC_ACYPI
Phy007AWWE_MYZPE	Phy0010BYG_ACYPI
Phy007AV10_MYZPE	Phy00424P9_ACYPI
Phy007ATOJ_MYZPE	Phy00421Q8_ACYPI
Phy007AVQL_MYZPE	Phy0042B2O_ACYPI
Phy007AU0W_MYZPE	Phy000YJZF_ACYPI
Phy00BX55U_ACYPI	Phy007AZ9J_MYZPE
Phy007ATWG_MYZPE	Phy0010G7G_ACYPI
Phy00BX1KU_ACYPI	Phy007AURM_MYZPE
Phy00BX1KG_ACYPI	Phy007AN1F_MYZPE
Phy007ARDW_MYZPE	Phy000XPU0_ACYPI
Phy007AW5P_MYZPE	Phy0042EE8_ACYPI
Phy00BX24R_ACYPI	Phy007AQG0_MYZPE
Phy00BWX5C_ACYPI	Phy007AORD_MYZPE
Phy007ANPN_MYZPE	Phy0010BNZ_ACYPI
Phy007ALSG_MYZPE	Phy000XQ56_ACYPI
Phy007AP5E_MYZPE	Phy00107VZ_ACYPI
Phy007AQRW_MYZPE	Phy0042BQO_ACYPI
Phy00BWXTO_ACYPI	Phy007AWNL_MYZPE
Phy007AT4M_MYZPE	Phy0010BBQ_ACYPI
Phy00BWY4A_ACYPI	Phy007AVC6_MYZPE
Phy00BX57I_ACYPI	Phy007ARBZ_MYZPE
Phy007AVYH_MYZPE	Phy0010BBO_ACYPI
Phy007ATGD_MYZPE	Phy0042885_ACYPI
Phy00BX1R4_ACYPI	Phy007AV3L_MYZPE
Phy00BX0HM_ACYPI	Phy007AVIO_MYZPE
Phy00BX2JS_ACYPI	Phy007AXT4_MYZPE
