	ACYPI	MYZPE	SIPHA
Number of genes	395	433	350
Number of genes in orthogroups	391	402	301
Number of unassigned genes	4	31	49
Percentage of genes in orthogroups	99.0	92.8	86.0
Percentage of unassigned genes	1.0	7.2	14.0
Number of orthogroups containing species	347	348	274
Percentage of orthogroups containing species	99.1	99.4	78.3
Number of species-specific orthogroups	1	1	0
Number of genes in species-specific orthogroups	3	3	0
Percentage of genes in species-specific orthogroups	0.8	0.7	0.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	3	2	76
'1	323	311	257
'2	19	31	12
'3	2	2	2
'4	0	3	2
'5	1	0	0
'6	1	0	1
'7	0	0	0
'8	0	0	0
'9	0	0	0
'10	0	0	0
11-15	1	1	0
16-20	0	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	0.9	0.6	21.7
'1	92.3	88.9	73.4
'2	5.4	8.9	3.4
'3	0.6	0.6	0.6
'4	0.0	0.9	0.6
'5	0.3	0.0	0.0
'6	0.3	0.0	0.3
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	0.3	0.3	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	323	311	257
'2	38	62	24
'3	6	6	6
'4	0	12	8
'5	5	0	0
'6	6	0	6
'7	0	0	0
'8	0	0	0
'9	0	0	0
'10	0	0	0
11-15	13	11	0
16-20	0	0	0
21-50	0	0	0
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	81.8	71.8	73.4
'2	9.6	14.3	6.9
'3	1.5	1.4	1.7
'4	0.0	2.8	2.3
'5	1.3	0.0	0.0
'6	1.5	0.0	1.7
'7	0.0	0.0	0.0
'8	0.0	0.0	0.0
'9	0.0	0.0	0.0
'10	0.0	0.0	0.0
11-15	3.3	2.5	0.0
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
