Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	ACYPI	n1	1.0	Terminal	ACYPI_Phy000YKW1_ACYPI, ACYPI_Phy00BWX03_ACYPI, ACYPI_Phy000YM22_ACYPI, ACYPI_Phy00108OL_ACYPI, ACYPI_Phy00427T9_ACYPI, ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI, ACYPI_Phy0010CGL_ACYPI, ACYPI_Phy000YNKS_ACYPI, ACYPI_Phy00429KH_ACYPI, ACYPI_Phy00423OC_ACYPI, ACYPI_Phy00108XS_ACYPI	ACYPI_Phy000YQJS_ACYPI
OG0000000	ACYPI	n2	1.0	Terminal	ACYPI_Phy000YKW1_ACYPI, ACYPI_Phy00BWX03_ACYPI, ACYPI_Phy000YM22_ACYPI, ACYPI_Phy00108OL_ACYPI, ACYPI_Phy00427T9_ACYPI, ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI, ACYPI_Phy0010CGL_ACYPI	ACYPI_Phy000YNKS_ACYPI, ACYPI_Phy00429KH_ACYPI, ACYPI_Phy00423OC_ACYPI, ACYPI_Phy00108XS_ACYPI
OG0000000	ACYPI	n3	1.0	Terminal	ACYPI_Phy000YKW1_ACYPI, ACYPI_Phy00BWX03_ACYPI	ACYPI_Phy000YM22_ACYPI, ACYPI_Phy00108OL_ACYPI, ACYPI_Phy00427T9_ACYPI, ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI, ACYPI_Phy0010CGL_ACYPI
OG0000000	ACYPI	n4	1.0	Terminal	ACYPI_Phy000YKW1_ACYPI	ACYPI_Phy00BWX03_ACYPI
OG0000000	ACYPI	n5	1.0	Terminal	ACYPI_Phy000YM22_ACYPI, ACYPI_Phy00108OL_ACYPI	ACYPI_Phy00427T9_ACYPI, ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI, ACYPI_Phy0010CGL_ACYPI
OG0000000	ACYPI	n6	1.0	Terminal	ACYPI_Phy000YM22_ACYPI	ACYPI_Phy00108OL_ACYPI
OG0000000	ACYPI	n7	1.0	Terminal	ACYPI_Phy00427T9_ACYPI, ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI	ACYPI_Phy0010CGL_ACYPI
OG0000000	ACYPI	n8	1.0	Terminal	ACYPI_Phy00427T9_ACYPI	ACYPI_Phy000YOD3_ACYPI, ACYPI_Phy000YNOI_ACYPI
OG0000000	ACYPI	n9	1.0	Terminal	ACYPI_Phy000YOD3_ACYPI	ACYPI_Phy000YNOI_ACYPI
OG0000000	ACYPI	n10	1.0	Terminal	ACYPI_Phy000YNKS_ACYPI, ACYPI_Phy00429KH_ACYPI, ACYPI_Phy00423OC_ACYPI	ACYPI_Phy00108XS_ACYPI
OG0000000	ACYPI	n11	1.0	Terminal	ACYPI_Phy000YNKS_ACYPI	ACYPI_Phy00429KH_ACYPI, ACYPI_Phy00423OC_ACYPI
OG0000000	ACYPI	n12	1.0	Terminal	ACYPI_Phy00429KH_ACYPI	ACYPI_Phy00423OC_ACYPI
OG0000001	N0	n0	1.0	Shared	MYZPE_Phy007AWWE_MYZPE, ACYPI_Phy0010BYG_ACYPI	MYZPE_Phy007AYVO_MYZPE, ACYPI_Phy00BX2H1_ACYPI, ACYPI_Phy0042AQW_ACYPI, ACYPI_Phy0042EDV_ACYPI, ACYPI_Phy0010FAG_ACYPI
OG0000001	ACYPI	n3	1.0	Terminal	ACYPI_Phy00BX2H1_ACYPI	ACYPI_Phy0042AQW_ACYPI, ACYPI_Phy0042EDV_ACYPI, ACYPI_Phy0010FAG_ACYPI
OG0000001	ACYPI	n4	1.0	Terminal	ACYPI_Phy0042AQW_ACYPI	ACYPI_Phy0042EDV_ACYPI, ACYPI_Phy0010FAG_ACYPI
OG0000001	ACYPI	n5	1.0	Terminal	ACYPI_Phy0042EDV_ACYPI	ACYPI_Phy0010FAG_ACYPI
OG0000002	N0	n0	1.0	Shared	MYZPE_Phy007ANB5_MYZPE, MYZPE_Phy007AQ9I_MYZPE, ACYPI_Phy00BWVFM_ACYPI	ACYPI_Phy000XQ1P_ACYPI, MYZPE_Phy007AXCW_MYZPE, MYZPE_Phy007ANEM_MYZPE
OG0000002	MYZPE	n2	1.0	Terminal	MYZPE_Phy007ANB5_MYZPE	MYZPE_Phy007AQ9I_MYZPE
OG0000002	MYZPE	n4	1.0	Terminal	MYZPE_Phy007AXCW_MYZPE	MYZPE_Phy007ANEM_MYZPE
OG0000003	N0	n0	1.0	Shared	ACYPI_Phy00BX2GR_ACYPI, MYZPE_Phy007ATEY_MYZPE	ACYPI_Phy00BX36V_ACYPI, MYZPE_Phy007AYEX_MYZPE, MYZPE_Phy007ATY3_MYZPE, MYZPE_Phy007AX6C_MYZPE
OG0000003	MYZPE	n3	1.0	Terminal	MYZPE_Phy007AYEX_MYZPE	MYZPE_Phy007ATY3_MYZPE, MYZPE_Phy007AX6C_MYZPE
OG0000003	MYZPE	n4	1.0	Terminal	MYZPE_Phy007ATY3_MYZPE	MYZPE_Phy007AX6C_MYZPE
OG0000004	MYZPE	n1	1.0	Terminal	MYZPE_Phy007AY06_MYZPE	MYZPE_Phy007AOGX_MYZPE
OG0000004	ACYPI	n2	1.0	Terminal	ACYPI_Phy00BX0ZP_ACYPI	ACYPI_Phy00BX0GK_ACYPI, ACYPI_Phy00BWXR7_ACYPI
OG0000004	ACYPI	n3	1.0	Terminal	ACYPI_Phy00BX0GK_ACYPI	ACYPI_Phy00BWXR7_ACYPI
OG0000005	MYZPE	n1	1.0	Terminal	MYZPE_Phy007AQP1_MYZPE, MYZPE_Phy007AM34_MYZPE	MYZPE_Phy007AONN_MYZPE, MYZPE_Phy007AUCF_MYZPE
OG0000005	MYZPE	n2	1.0	Terminal	MYZPE_Phy007AQP1_MYZPE	MYZPE_Phy007AM34_MYZPE
OG0000005	MYZPE	n3	1.0	Terminal	MYZPE_Phy007AONN_MYZPE	MYZPE_Phy007AUCF_MYZPE
OG0000006	ACYPI	n1	1.0	Terminal	ACYPI_Phy00BX4EA_ACYPI	ACYPI_Phy00BX2WJ_ACYPI, ACYPI_Phy00BWVH3_ACYPI
OG0000006	ACYPI	n2	1.0	Terminal	ACYPI_Phy00BX2WJ_ACYPI	ACYPI_Phy00BWVH3_ACYPI
OG0000006	MYZPE	n3	1.0	Terminal	MYZPE_Phy007AS8X_MYZPE	MYZPE_Phy007AS8G_MYZPE
OG0000007	N0	n0	1.0	Shared	ACYPI_Phy004291Q_ACYPI, MYZPE_Phy007AO71_MYZPE	ACYPI_Phy00421MQ_ACYPI, MYZPE_Phy007AWM2_MYZPE, MYZPE_Phy007AN9F_MYZPE
OG0000007	MYZPE	n3	1.0	Terminal	MYZPE_Phy007AWM2_MYZPE	MYZPE_Phy007AN9F_MYZPE
OG0000008	MYZPE	n1	1.0	Terminal	MYZPE_Phy007AMPM_MYZPE	MYZPE_Phy007AYSI_MYZPE, MYZPE_Phy007AZ12_MYZPE, MYZPE_Phy007AONY_MYZPE
