	ACYPI	MYZPE
OG0000350	Phy00BWXNB_ACYPI	
OG0000351	Phy00BX3MD_ACYPI	
OG0000352	Phy00429PL_ACYPI	
OG0000353	Phy00BX0JU_ACYPI	
OG0000354	Phy000YEY6_ACYPI	
OG0000355	Phy00BX2MU_ACYPI	
OG0000356		Phy007AOI3_MYZPE
OG0000357		Phy007ANVY_MYZPE
OG0000358		Phy007ANWB_MYZPE
OG0000359		Phy007AVCL_MYZPE
OG0000360		Phy007AUHG_MYZPE
OG0000361		Phy007AMC8_MYZPE
OG0000362		Phy007APEN_MYZPE
OG0000363		Phy007AOUB_MYZPE
OG0000364		Phy007AYRT_MYZPE
OG0000365		Phy007AS4V_MYZPE
OG0000366		Phy007AOM0_MYZPE
OG0000367		Phy007AN2X_MYZPE
OG0000368		Phy007AN0O_MYZPE
OG0000369		Phy007AZVJ_MYZPE
OG0000370		Phy007APXD_MYZPE
OG0000371		Phy007AZM7_MYZPE
OG0000372		Phy007APUI_MYZPE
OG0000373		Phy007AND2_MYZPE
OG0000374		Phy007AP3S_MYZPE
OG0000375		Phy007AYJ1_MYZPE
OG0000376		Phy007AQSF_MYZPE
OG0000377		Phy007AZ7H_MYZPE
OG0000378		Phy007APX7_MYZPE
OG0000379		Phy007AZ18_MYZPE
OG0000380		Phy007AQ7P_MYZPE
OG0000381		Phy007AOWQ_MYZPE
OG0000382		Phy007AZOB_MYZPE
OG0000383		Phy007ALX2_MYZPE
OG0000384		Phy007AP9C_MYZPE
OG0000385		Phy007AO6Y_MYZPE
OG0000386		Phy007AXD4_MYZPE
OG0000387		Phy007AYJM_MYZPE
OG0000388		Phy007AMA4_MYZPE
OG0000389		Phy007APYC_MYZPE
OG0000390		Phy007ATAZ_MYZPE
OG0000391		Phy007ANBD_MYZPE
OG0000392		Phy007AQID_MYZPE
OG0000393		Phy007AOWM_MYZPE
OG0000394		Phy007AT8M_MYZPE
