	ACYPI	MYZPE	SIPHA
OG0000350	Phy00BWXNB_ACYPI		
OG0000351	Phy00BX3MD_ACYPI		
OG0000352	Phy00BX0JU_ACYPI		
OG0000353	Phy000YEY6_ACYPI		
OG0000354		Phy007AOI3_MYZPE	
OG0000355		Phy007ANVY_MYZPE	
OG0000356		Phy007ANWB_MYZPE	
OG0000357		Phy007AUHG_MYZPE	
OG0000358		Phy007AMC8_MYZPE	
OG0000359		Phy007AOUB_MYZPE	
OG0000360		Phy007AYRT_MYZPE	
OG0000361		Phy007AS4V_MYZPE	
OG0000362		Phy007AOM0_MYZPE	
OG0000363		Phy007AN2X_MYZPE	
OG0000364		Phy007AZVJ_MYZPE	
OG0000365		Phy007APXD_MYZPE	
OG0000366		Phy007APUI_MYZPE	
OG0000367		Phy007AND2_MYZPE	
OG0000368		Phy007AP3S_MYZPE	
OG0000369		Phy007AQSF_MYZPE	
OG0000370		Phy007AZ7H_MYZPE	
OG0000371		Phy007APX7_MYZPE	
OG0000372		Phy007AZ18_MYZPE	
OG0000373		Phy007AQ7P_MYZPE	
OG0000374		Phy007AOWQ_MYZPE	
OG0000375		Phy007ALX2_MYZPE	
OG0000376		Phy007AP9C_MYZPE	
OG0000377		Phy007AO6Y_MYZPE	
OG0000378		Phy007AXD4_MYZPE	
OG0000379		Phy007AMA4_MYZPE	
OG0000380		Phy007APYC_MYZPE	
OG0000381		Phy007ATAZ_MYZPE	
OG0000382		Phy007ANBD_MYZPE	
OG0000383		Phy007AQID_MYZPE	
OG0000384		Phy007AOWM_MYZPE	
OG0000385			Phy00DESV9_SIPHA
OG0000386			Phy00DF42L_SIPHA
OG0000387			Phy00DEWTY_SIPHA
OG0000388			Phy00DEVHC_SIPHA
OG0000389			Phy00DF3F3_SIPHA
OG0000390			Phy00DEXCF_SIPHA
OG0000391			Phy00DF26R_SIPHA
OG0000392			Phy00DEXAJ_SIPHA
OG0000393			Phy00DEZ6O_SIPHA
OG0000394			Phy00DEUB1_SIPHA
OG0000395			Phy00DEXLY_SIPHA
OG0000396			Phy00DF43E_SIPHA
OG0000397			Phy00DF00O_SIPHA
OG0000398			Phy00DEZA3_SIPHA
OG0000399			Phy00DESR8_SIPHA
OG0000400			Phy00DEYCM_SIPHA
OG0000401			Phy00DF5ZO_SIPHA
OG0000402			Phy00DEVIV_SIPHA
OG0000403			Phy00DF0JU_SIPHA
OG0000404			Phy00DF24V_SIPHA
OG0000405			Phy00DEUL9_SIPHA
OG0000406			Phy00DET4J_SIPHA
OG0000407			Phy00DF19N_SIPHA
OG0000408			Phy00DF5L0_SIPHA
OG0000409			Phy00DEYAH_SIPHA
OG0000410			Phy00DEY57_SIPHA
OG0000411			Phy00DEXU9_SIPHA
OG0000412			Phy00DEUAL_SIPHA
OG0000413			Phy00DF3OW_SIPHA
OG0000414			Phy00DF0S9_SIPHA
OG0000415			Phy00DF52O_SIPHA
OG0000416			Phy00DEXGH_SIPHA
OG0000417			Phy00DF0WT_SIPHA
OG0000418			Phy00DEU8W_SIPHA
OG0000419			Phy00DF3LA_SIPHA
OG0000420			Phy00DEUA6_SIPHA
OG0000421			Phy00DEZ7G_SIPHA
OG0000422			Phy00DETWO_SIPHA
OG0000423			Phy00DF1MC_SIPHA
OG0000424			Phy00DF5IG_SIPHA
OG0000425			Phy00DEZ77_SIPHA
OG0000426			Phy00DF3OG_SIPHA
OG0000427			Phy00DF07M_SIPHA
OG0000428			Phy00DEWZZ_SIPHA
OG0000429			Phy00DF2HA_SIPHA
OG0000430			Phy00DEZLX_SIPHA
OG0000431			Phy00DESPW_SIPHA
OG0000432			Phy00DEWJ9_SIPHA
OG0000433			Phy00DF03O_SIPHA
